Algorithm,# Floors,# Vertices,# Robots,Traversal Time,Computation Time (sec)
COCTA,7,202,5,241,0.17374491691589355
DFS-BGS,7,202,5,1733,0.08505487442016602
COCTA,7,202,10,181,0.1325700283050537
DFS-BGS,7,202,10,1768,0.126082181930542
COCTA,7,202,15,163,0.10515785217285156
DFS-BGS,7,202,15,1780,0.22946786880493164
COCTA,7,202,20,143,0.1340627670288086
DFS-BGS,7,202,20,1033,0.20305204391479492
COCTA,7,202,25,129,0.08988595008850098
DFS-BGS,7,202,25,939,0.2009129524230957
COCTA,7,202,30,102,0.10064315795898438
DFS-BGS,7,202,30,815,0.2981221675872803
COCTA,7,202,35,95,0.05914115905761719
DFS-BGS,7,202,35,493,0.19831013679504395
COCTA,7,202,40,91,0.0642390251159668
DFS-BGS,7,202,40,481,0.255964994430542
COCTA,7,202,45,86,0.10644030570983887
DFS-BGS,7,202,45,447,0.20838189125061035
COCTA,7,202,50,78,0.11455488204956055
DFS-BGS,7,202,50,503,0.09328413009643555
COCTA,7,202,55,76,0.09019589424133301
DFS-BGS,7,202,55,515,0.1308431625366211
COCTA,7,202,60,72,0.2373790740966797
DFS-BGS,7,202,60,533,0.19903898239135742
COCTA,7,202,65,70,0.05286884307861328
DFS-BGS,7,202,65,517,0.18513202667236328
COCTA,7,202,70,59,0.04503321647644043
DFS-BGS,7,202,70,511,0.18501687049865723
COCTA,7,202,75,57,0.056920766830444336
DFS-BGS,7,202,75,553,0.1998898983001709
COCTA,7,202,80,53,0.06500601768493652
DFS-BGS,7,202,80,453,0.20514893531799316
COCTA,7,202,85,52,0.07663369178771973
DFS-BGS,7,202,85,453,0.22762775421142578
COCTA,7,202,90,50,0.05943727493286133
DFS-BGS,7,202,90,453,0.18535113334655762
COCTA,7,202,95,47,0.06020188331604004
DFS-BGS,7,202,95,143,0.1436784267425537
COCTA,7,202,100,46,0.04839301109313965
DFS-BGS,7,202,100,143,0.14753484725952148
COCTA,8,202,5,241,0.12496209144592285
DFS-BGS,8,202,5,1733,0.06485414505004883
COCTA,8,202,10,181,0.13597798347473145
DFS-BGS,8,202,10,1768,0.11404085159301758
COCTA,8,202,15,163,0.10583662986755371
DFS-BGS,8,202,15,1780,0.15105772018432617
COCTA,8,202,20,143,0.11176919937133789
DFS-BGS,8,202,20,1033,0.21637868881225586
COCTA,8,202,25,129,0.0977928638458252
DFS-BGS,8,202,25,939,0.20136809349060059
COCTA,8,202,30,102,0.1259467601776123
DFS-BGS,8,202,30,815,0.2355341911315918
COCTA,8,202,35,95,0.08144402503967285
DFS-BGS,8,202,35,493,0.1553361415863037
COCTA,8,202,40,91,0.06328415870666504
DFS-BGS,8,202,40,481,0.15459299087524414
COCTA,8,202,45,86,0.11513113975524902
DFS-BGS,8,202,45,447,0.18709611892700195
COCTA,8,202,50,78,0.09604907035827637
DFS-BGS,8,202,50,503,0.17808103561401367
COCTA,8,202,55,76,0.07740211486816406
DFS-BGS,8,202,55,515,0.13210391998291016
COCTA,8,202,60,72,0.05676674842834473
DFS-BGS,8,202,60,533,0.13615679740905762
COCTA,8,202,65,70,0.09545087814331055
DFS-BGS,8,202,65,517,0.12778782844543457
COCTA,8,202,70,59,0.06293487548828125
DFS-BGS,8,202,70,511,0.16027617454528809
COCTA,8,202,75,57,0.0701141357421875
DFS-BGS,8,202,75,553,0.21106600761413574
COCTA,8,202,80,53,0.0813288688659668
DFS-BGS,8,202,80,453,0.22000813484191895
COCTA,8,202,85,52,0.05940508842468262
DFS-BGS,8,202,85,453,0.18372726440429688
COCTA,8,202,90,50,0.059906959533691406
DFS-BGS,8,202,90,453,0.1956489086151123
COCTA,8,202,95,47,0.06816220283508301
DFS-BGS,8,202,95,143,0.15761375427246094
COCTA,8,202,100,46,0.0446629524230957
DFS-BGS,8,202,100,143,0.1516711711883545
